Compressor Roll Force,Punch Stiffness,Pre-compressor Roll Force,Tab Cylinder High (main),Tab Fill Depth,Magnesium Citrate Quality,Particle Size Retention,Potency Concentration,Output
17.5,63,2.550000072,0.734999985,8.824999809,99.8,1.2,99.61,bad
17.40000057,108,2.199999928,0.620000005,8.724999905,99.45,2.55,99.24,bad
17.80000019,118.5,2.449999928,0.730000019,8.795000076,99.35,2.4,99.125,bad
12.19999981,88,2.549999952,1.230000019,8.775000095,99.6,2.8,99.42,bad
12.54999971,90.5,2.75,1.24000001,8.449999809,99.5,2.6,99.34,bad
17.44999981,46.5,2.399999976,0.704999983,9.085000038,100.1,2.5,99.79,bad
17.25,47,2.450000048,0.724999994,9.095000267,100.05,2.15,99.8,bad
17.1500001,54.5,2.100000024,0.720000029,9.025000095,100.1,2.7,99.79,bad
17.44999981,70.5,2.599999905,0.700000018,9.224999905,99.85,2.45,99.64,bad
16.79999924,45,2.450000048,0.710000008,8.909999847,99.8,2.5,99.58,bad
17.25,52,2.549999952,0.704999983,8.90500021,99.8,2.5,99.595,bad
15.5,64,2.549999952,0.745000005,8.674999714,99.8,2.5,99.61,bad
17.34999943,63.5,2.450000048,0.74000001,8.779999733,99.8,2.5,99.61,bad
17.44999981,55,2.350000024,0.719999999,8.569999695,99.8,2.5,99.61,bad
16.85000038,78,2.900000095,0.734999985,9.255000114,99.9,1.8,99.71,bad
16.89999962,84,2.649999976,0.620000005,9.119999886,100.2,1.1,99.78,bad
18.20000076,60.5,2.200000048,0.664999992,9.120000362,98.8,3.4,98.57,bad
17,141.5,2.949999928,0.695000023,8.690000057,99.5,1.4,99.28,bad
17.30000019,155,2.149999976,0.625,8.734999657,99.5,1.3,99.28,bad
12.39999962,93,2.149999976,1.220000029,8.800000191,99.6,2.8,99.42,bad
12.25,107.5,2.149999976,1.210000038,8.740000248,99.6,2.8,99.42,bad
12,88.5,2.5,1.210000038,8.845000267,99.6,2.8,99.42,bad
11.55000019,117.5,3.25,1.245000005,8.399999619,99.55,2.7,99.38,bad
12,81,2.5,1.209999979,8.429999828,99.55,2.7,99.38,bad
16.94999981,179.5,2.849999905,0.609999985,9.375,99.9,0.9,99.68,bad
17.79999924,172,2.949999928,0.609999985,9.284999847,99.9,0.9,99.68,bad
17.44999981,177,2.899999976,0.63499999,9.215000153,99.9,0.9,99.68,bad
16.94999981,170.5,2.849999905,0.655000001,9.224999905,99.9,0.9,99.68,bad
